2025-02-15 16:51:58 install libubsan1:i386 <none> 8.3.0-6
2025-02-15 16:51:58 status half-installed libubsan1:i386 8.3.0-6
2025-02-15 16:51:58 status unpacked libubsan1:i386 8.3.0-6
2025-02-15 16:51:58 install libmpx2:i386 <none> 8.3.0-6
2025-02-15 16:51:58 status half-installed libmpx2:i386 8.3.0-6
2025-02-15 16:51:58 status unpacked libmpx2:i386 8.3.0-6
2025-02-15 16:51:58 install libquadmath0:i386 <none> 8.3.0-6
2025-02-15 16:51:58 status half-installed libquadmath0:i386 8.3.0-6
2025-02-15 16:51:59 status unpacked libquadmath0:i386 8.3.0-6
2025-02-15 16:51:59 install libgcc-8-dev:i386 <none> 8.3.0-6
2025-02-15 16:51:59 status half-installed libgcc-8-dev:i386 8.3.0-6
2025-02-15 16:51:59 status unpacked libgcc-8-dev:i386 8.3.0-6
2025-02-15 16:51:59 install gcc-8:i386 <none> 8.3.0-6
2025-02-15 16:51:59 status half-installed gcc-8:i386 8.3.0-6
2025-02-15 16:51:59 status unpacked gcc-8:i386 8.3.0-6
2025-02-15 16:51:59 install gcc:i386 <none> 4:8.3.0-1
2025-02-15 16:51:59 status half-installed gcc:i386 4:8.3.0-1
2025-02-15 16:51:59 status unpacked gcc:i386 4:8.3.0-1
2025-02-15 16:51:59 install libstdc++-8-dev:i386 <none> 8.3.0-6
2025-02-15 16:51:59 status half-installed libstdc++-8-dev:i386 8.3.0-6
2025-02-15 16:52:00 status unpacked libstdc++-8-dev:i386 8.3.0-6
2025-02-15 16:52:00 install g++-8:i386 <none> 8.3.0-6
2025-02-15 16:52:00 status half-installed g++-8:i386 8.3.0-6
2025-02-15 16:52:00 status unpacked g++-8:i386 8.3.0-6
2025-02-15 16:52:00 install g++:i386 <none> 4:8.3.0-1
2025-02-15 16:52:00 status half-installed g++:i386 4:8.3.0-1
2025-02-15 16:52:00 status unpacked g++:i386 4:8.3.0-1
2025-02-15 16:52:00 install make:i386 <none> 4.2.1-1.2
2025-02-15 16:52:00 status half-installed make:i386 4.2.1-1.2
2025-02-15 16:52:00 status unpacked make:i386 4.2.1-1.2
2025-02-15 16:52:00 install libdpkg-perl:all <none> 1.19.8
2025-02-15 16:52:00 status half-installed libdpkg-perl:all 1.19.8
2025-02-15 16:52:01 status unpacked libdpkg-perl:all 1.19.8
2025-02-15 16:52:01 install patch:i386 <none> 2.7.6-3+deb10u1
2025-02-15 16:52:01 status half-installed patch:i386 2.7.6-3+deb10u1
2025-02-15 16:52:01 status unpacked patch:i386 2.7.6-3+deb10u1
2025-02-15 16:52:01 install dpkg-dev:all <none> 1.19.8
2025-02-15 16:52:01 status half-installed dpkg-dev:all 1.19.8
2025-02-15 16:52:01 status unpacked dpkg-dev:all 1.19.8
2025-02-15 16:52:01 install build-essential:i386 <none> 12.6
2025-02-15 16:52:01 status half-installed build-essential:i386 12.6
2025-02-15 16:52:01 status unpacked build-essential:i386 12.6
2025-02-15 16:52:01 install openssl:i386 <none> 1.1.1n-0+deb10u6
2025-02-15 16:52:01 status half-installed openssl:i386 1.1.1n-0+deb10u6
2025-02-15 16:52:01 status unpacked openssl:i386 1.1.1n-0+deb10u6
2025-02-15 16:52:01 install ca-certificates:all <none> 20200601~deb10u2
2025-02-15 16:52:01 status half-installed ca-certificates:all 20200601~deb10u2
2025-02-15 16:52:01 status unpacked ca-certificates:all 20200601~deb10u2
2025-02-15 16:52:01 install python3-lib2to3:all <none> 3.7.3-1
2025-02-15 16:52:01 status half-installed python3-lib2to3:all 3.7.3-1
2025-02-15 16:52:01 status unpacked python3-lib2to3:all 3.7.3-1
2025-02-15 16:52:01 install python3-distutils:all <none> 3.7.3-1
2025-02-15 16:52:01 status half-installed python3-distutils:all 3.7.3-1
2025-02-15 16:52:01 status unpacked python3-distutils:all 3.7.3-1
2025-02-15 16:52:01 install dh-python:all <none> 3.20190308
2025-02-15 16:52:01 status half-installed dh-python:all 3.20190308
2025-02-15 16:52:01 status unpacked dh-python:all 3.20190308
2025-02-15 16:52:01 install libassuan0:i386 <none> 2.5.2-1
